context,slot,value,label
"hi , i need a hotel that include -s free wifi in the north of cambridge .
yes i have many listings for that type of hotel , if you tell me your price range i can narrow down your options .
hotel does not need to have free parking . i do not care about price range .
the avalon is a moderate -ly priced guest house type that matches your criteria .
what is the postcode , price range , and address ?
the postcode for the avalon is cb43pd , it is moderate -ly priced hotel , and it is located at 62 gilbert road .
thank you so much . i am also looking for information on a place to dine in the same area of the hotel . i would prefer international food .
unfortunately there are no matching restaurant -s in the north . would you like to try a different type of cuisine , or a different area ?
maybe . . are you sure there is no cheap international food in the north ?",restaurant price range,cheap,
"i need a train to cambridge on friday , please .
there are 202 trains to cambridge on friday . what is your departure station and preferred travel time ?
i would like for the train to leave after 18:45 and depart from bishops stortford
there is a train meeting your criteria and is leaving at 19:29 .
what is the travel time of the train ?
the travel time is 38 minutes . would you like to book this ?
that s all the info i need about the train , i also am looking for an expensive restaurant in the centre of town .",restaurant price range,expensive,
"i am going to cambridge and would like to find a place to eat locally . can you suggest a good place ?
there are several hotel -s that match that description . what kind of food are you interested in and what is your price range ?
i am sorry , actually i need to find a train departing from cambridge going to ely on wednesday . i need to arrive by 21:30 .
train tr6745 leaves cambridge on wednesday at 15:50 and arrives at ely at 16:07 . would you like to book it ?
yes , please , i need a booking for 7 people .
i was able to book it , reference number is ghnb4f22 .
thanks , i need to find a place for dinner too please . chinese place in the north if there is anything available .
there are 3 restaurant -s that meet your criteria . do you prefer an expensive or moderate price range ?
we are celebrating so how about in the expensive price range ?",restaurant price range,expensive,
"i am looking for a local , cheap place to eat .",restaurant price range,cheap,
i am in the mood for a traditional american food restaurant tonight and looking to treat myself to some expensive fine dining . can you help me find a perfect place ?,restaurant price range,expensive,
i need a nice expensive restaurant located in the cambridge centre .,restaurant price range,expensive,
can you help me find an expensive restaurant in the west ?,restaurant price range,expensive,
"i am looking for a museum attraction in the west .
there are 7 museums on the west side of town . how does the cambridge and county folk museum sound ?
sounds fantastic . can i get the phone number ? and is there an entrance fee ?
the entrance fee is 3.50 pounds and their phone number is 01223355159
can you also looking for a restaurant called golden wok ?
it is a chinese restaurant in the north part of town in the moderate price range
wonderful . can you make a reservation for friday at 17:15 for 3 people ?
just a moment please . i took care of that reservation for you . they will be expecting you friday at 17:15 . your reference number is 5zfdmtis .
could you also please book me a taxi from the museum to golden wok ? i really do not want to miss my reservation , so it'll have to get there by 17:15 .",taxi arrive by,17:15,
"i need to find a taxi departing from alimentum .
i would love to help you with this ! where are you wanting to go and what time are you wanting to leave or arrive by ?
i would like to arrive by 03:15 and go to ali baba please .",taxi arrive by,03:15,
"i am visiting cambridge and looking to do the tourist thing ! i am interested in information about potential nightclubs in the centre of town !
sure , there are 5 different nightclubs in the centre area , were you wanting to check them all out or would you like a recommendation ?
great can i get the phone number and postcode of 1 you would recommend ?
club salsa is a great nightclub in the area . their phone number is 07782218745 . their postcode is cb12jb . their entrance fee is currently 5 pounds . can i help with something else ?
have you heard of the university arms hotel ?
yes the university arms hotel is located in the centre as well , and it is a 4 star hotel with free parking and wifi . would you like me to book it ?
yes , let s book it for 4 people starting sunday for 3 nights .
i am sorry but that was unsuccessful . would you like to book another day or shorter stay ?
can you book it for 1 night starting sunday ?
so you would like to book university arms hotel for for 4 people starting sunday for 3 nights , is that correct ?
disregard that last message ! let s try booking the university arms on sunday for 1 night , 3 people .
unfortunately , they do not have availability for that specific stay . would you like to change the stay length or different day possibly ?
what other days are available ?
ok , i have successfully reserved a room for 4 people on sunday night ref#hr5q3jru . can i help with anything else today ?
great can i also get a taxi between the 2 location -s please ?
what time would you like to leave by ?
i want to be at the attraction by 2:15 and will need a contact number for the driver and car type .",taxi arrive by,02:15,
"i am looking for a place to eat in the moderate price range in the centre of town please .
there are a lot of restaurant -s that meet your criteria . do you have a food type preference , or would you like a recommendation ?
a recommendation would be fine .
alright , how about the yippee noodle bar ?
that should be fine . please book a table for 4 people at 13:30 on saturday .
ok , your table is booked . reference #ndm1gh4j . can i help you with anything else today ?
yes , actually , i am also looking for a multiple sport attraction in the same area as the restaurant .
i am sorry i do not see any multiple sports attractions in the centre . would you like a different area ?
that s okay . how about a college in the same area ?
there are multiple colleges available . do you have a preference on whether there is an entrance fee ?
nope , i am willing to pay for a great place . where do you recommend ?
if i may , might i suggest the sidney sussex college . it s free to get in and they are located on sidney street . would you like more info ?
yes and i would also like to book a taxi to and from the location -s .
what time would you want to leave ?
i just need to get to the restaurant by the booked time .",taxi arrive by,13:30,
"hi , i am looking for information on sitar tandoori restaurant .
sitar tandoori servers indian food and is in the east its expensive . phone number is 01223249955 post code is cb19hx
great thank you for all your help .
is there anything else i can help you with today ?
yes , actually , can you book me a setting for 5 people at 18:00 on thursday ?
your are all booked ! your reference number is 2x4lvw0r . is there anything else i can do for you ?
yes , i am also looking for place -s to go in the centre .
can you tell me what you are looking to do so i can better serve you and are looking to pay an entrance fee ?
any park or historical building would be good . can you give me the name and telephone number of an attraction ?
holy trinity church is an architectural attraction in the centre . the phone number is 01223355397 . would you also like the address ?
yes please . and get me a taxi for that commute .
when would you like to the leave for the holy trinity church ?
i would like to arrive at the restaurant by 18:00 , and i would like a contact number and car type .",taxi arrive by,18:00,
"can you help me with a taxi booking ?
sure ! when would you like to arrive ?
i must arrive to nandos by 23:15",taxi arrive by,23:15,
i am at jesus college and i need at taxi to arrive by 18:00 .,taxi arrive by,18:00,
"i need the address of the worth house hotel .
sure thing . which worth house hotel do you need the address for ?
what options do i have ?
the worth house guest house in the northern side of town is located at 152 chesterton road , is this the 1 you are looking for ?
yes ! can you book it for 2 people and 5 nights starting saturday ?
yes i have booked the worth house guest house for 2 people for 5 nights beginning saturday . your reference number is w9945xis . can i help with anything else ?
i am also for a restaurant , i need it to be in the south and at a cheap price range , preferably a panasian place .
i am not seeing any cheap panasian restaurant -s in the south . would you like me to look for something else ?
how about a cheap chinese place ?
there is 1 . it is called the lucky star and its address is cambridge leisure park clifton way cherry hinton . would you like me to make a reservation for you ?
yes , book me a table for 2 on saturday at 19:45 .
i am sorry , there are no reservations available at that day and time . is there another day and time that would work for you ?
ok , how about 18:45 instead ?
i have booked the lucky star for 2 at 18:45 , the reference number is rveswv8i . is there anything else i can help with ?
can i have a taxi take me to the restaurant from the hotel ? i need it to arrive by the time my reservation is booked for .",taxi arrive by,18:45,
i am wanting to book a taxi to go to cherry hinton water play . i want to make sure i arrive by 10:00 .,taxi arrive by,10:00,
"i am looking for restaurant -s and colleges in the city centre .
i can help . lets start with restaurant -s . is there a particular cuisine you are looking for ?
i do not have a preference for the restaurant -s .
are you simply looking for a recommendation or did you want something in particular ? there are about 69 different restaurant -s to choose from .
i would like to eat at and expensive gastropub type restaurant . can you give me the phone number of a place that fits this description ?
the slug and lettuce is a gastropub in that area . their number is not provided , but the address is 3435 green street . would you like to make a reservation ?
yes please . for just myself at 14:00 on monday .
i have made those reservations your reference number is sffowoee .
great , i also need to find a taxi for my commute on monday .
i need to know your departure and arrival sites as well times to book your taxi .
i would need it by the time my reservation is .",taxi arrive by,14:00,
where is the nearest emergency room ?,hospital department,emergency department,
